trade_id;entry_time;entry_time_2;exit_time;direction;entry_price;entry_price_2;avg_entry_price;exit_price;entry_sma;exit_sma;event_close;event_sma;tp_price;sl_price;exit_reason;pnl;pnl_usd;filter_passed;event_timestamp;has_grid_entry
42;2025-11-04 17:21:48.021;;2025-11-04 17:23:08.021;SELL;25759,0;;25759,0;25754,0;25760,31375;25757,155;25749,0;25770,97125;25754,0;25768,0;profit;5,0;100,0;True;2025-11-04 17:20:38.021;False
43;2025-11-04 17:38:54.021;;2025-11-04 17:39:07.021;SELL;25785,75;;25785,75;25794,75;25777,095;25778,6625;25775,75;25775,2675;25780,75;25794,75;stop;-9,0;-180,0;True;2025-11-04 17:38:24.021;False
44;2025-11-04 17:40:45.021;;2025-11-04 17:40:59.021;BUY;25765,75;;25765,75;25756,75;25782,29375;25780,57875;25775,75;25775,2675;25770,75;25756,75;stop;-9,0;-180,0;True;2025-11-04 17:38:24.021;False
45;2025-11-04 17:40:08.021;;2025-11-04 17:40:31.021;BUY;25783,5;;25783,5;25774,5;25783,57125;25783,33375;25793,5;25778,6625;25788,5;25774,5;stop;-9,0;-180,0;True;2025-11-04 17:39:07.021;False
46;2025-11-04 18:19:14.021;;2025-11-04 18:19:58.021;BUY;25670,25;;25670,25;25661,25;25698,83875;25689,4075;25680,25;25701,085;25675,25;25661,25;stop;-9,0;-180,0;True;2025-11-04 18:19:01.021;False
47;2025-11-04 18:19:58.021;;2025-11-04 18:20:00.021;BUY;25663,25;;25663,25;25654,25;25689,4075;25688,88;25673,25;25699,255;25668,25;25654,25;stop;-9,0;-180,0;True;2025-11-04 18:19:12.021;False
48;2025-11-04 18:21:43.021;;2025-11-04 18:22:18.021;SELL;25667,5;;25667,5;25676,5;25666,46875;25662,815;25657,5;25689,4075;25662,5;25676,5;stop;-9,0;-180,0;True;2025-11-04 18:19:58.021;False
49;2025-11-04 18:20:10.021;;2025-11-04 18:20:47.021;BUY;25647,5;;25647,5;25652,5;25686,095;25675,83875;25657,5;25689,4075;25652,5;25638,5;profit;5,0;100,0;True;2025-11-04 18:19:58.021;False
50;2025-11-04 18:20:56.021;;2025-11-04 18:21:12.021;SELL;25662,25;;25662,25;25657,25;25674,24375;25671,73875;25652,25;25688,59875;25657,25;25671,25;profit;5,0;100,0;True;2025-11-04 18:20:01.021;False
51;2025-11-04 18:20:31.021;;2025-11-04 18:20:33.021;BUY;25642,25;;25642,25;25647,25;25680,015;25679,4475;25652,25;25688,59875;25647,25;25633,25;profit;5,0;100,0;True;2025-11-04 18:20:01.021;False
52;2025-11-04 18:20:56.021;;2025-11-04 18:21:12.021;SELL;25662,25;;25662,25;25657,25;25674,24375;25671,73875;25652,25;25688,33375;25657,25;25671,25;profit;5,0;100,0;True;2025-11-04 18:20:02.021;False
53;2025-11-04 18:20:31.021;;2025-11-04 18:20:33.021;BUY;25642,25;;25642,25;25647,25;25680,015;25679,4475;25652,25;25688,33375;25647,25;25633,25;profit;5,0;100,0;True;2025-11-04 18:20:02.021;False
54;2025-11-04 19:12:28.021;;2025-11-04 19:12:48.021;SELL;25653,25;;25653,25;25648,25;25652,70375;25652,445;25643,25;25654,90375;25648,25;25662,25;profit;5,0;100,0;True;2025-11-04 19:11:33.021;False
55;2025-11-04 19:18:33.021;;2025-11-04 19:18:57.021;SELL;25647,75;;25647,75;25642,75;25654,26125;25652,33125;25637,75;25655,70625;25642,75;25656,75;profit;5,0;100,0;True;2025-11-04 19:18:18.021;False
56;2025-11-04 19:19:25.021;;2025-11-04 19:19:26.021;BUY;25627,75;;25627,75;25632,75;25648,09875;25647,93375;25637,75;25655,70625;25632,75;25618,75;profit;5,0;100,0;True;2025-11-04 19:18:18.021;False
57;2025-11-04 19:21:42.021;;2025-11-04 19:21:47.021;SELL;25637,75;;25637,75;25646,75;25630,51;25630,555;25627,75;25645,7;25632,75;25646,75;stop;-9,0;-180,0;True;2025-11-04 19:19:40.021;False
58;2025-11-04 19:23:33.021;;2025-11-04 19:23:57.021;SELL;25662,5;;25662,5;25657,5;25638,26125;25642,795;25652,5;25630,66375;25657,5;25671,5;profit;5,0;100,0;True;2025-11-04 19:21:52.021;False
59;2025-11-04 19:22:28.021;;2025-11-04 19:22:32.021;BUY;25642,5;;25642,5;25647,5;25631,35875;25631,56;25652,5;25630,66375;25647,5;25633,5;profit;5,0;100,0;True;2025-11-04 19:21:52.021;False
60;2025-11-04 19:24:21.021;;2025-11-04 19:25:00.021;BUY;25650,75;;25650,75;25641,75;25647,0275;25651,59625;25660,75;25638,26125;25655,75;25641,75;stop;-9,0;-180,0;True;2025-11-04 19:23:33.021;False
61;2025-11-04 19:28:19.021;;2025-11-04 19:30:30.021;SELL;25622,5;;25622,5;25631,5;25631,17;25622,8275;25612,5;25634,70125;25617,5;25631,5;stop;-9,0;-180,0;True;2025-11-04 19:27:57.021;False
62;2025-11-04 19:30:43.021;;2025-11-04 19:31:08.021;SELL;25645,25;;25645,25;25640,25;25623,88;25626,38375;25635,25;25622,8275;25640,25;25654,25;profit;5,0;100,0;True;2025-11-04 19:30:30.021;False
63;2025-11-04 19:32:55.021;;2025-11-04 19:33:43.021;BUY;25625,25;;25625,25;25616,25;25634,60625;25634,5225;25635,25;25622,8275;25630,25;25616,25;stop;-9,0;-180,0;True;2025-11-04 19:30:30.021;False
64;2025-11-04 20:40:18.021;;2025-11-04 20:40:31.021;SELL;25608,5;;25608,5;25603,5;25605,5825;25604,645;25598,5;25625,75375;25603,5;25617,5;profit;5,0;100,0;True;2025-11-04 20:38:18.021;False
65;2025-11-04 20:44:01.021;;2025-11-04 20:45:42.021;SELL;25590,25;;25590,25;25599,25;25590,4575;25588,01125;25580,25;25595,47625;25585,25;25599,25;stop;-9,0;-180,0;True;2025-11-04 20:43:15.021;False
66;2025-11-04 21:27:44.021;;2025-11-04 21:27:55.021;SELL;25609,5;;25609,5;25604,5;25596,97125;25597,64;25599,5;25596,03875;25604,5;25618,5;profit;5,0;100,0;True;2025-11-04 21:27:13.021;False
67;2025-11-04 21:27:45.021;;2025-11-04 21:27:55.021;SELL;25611,0;;25611,0;25606,0;25597,04875;25597,64;25601,0;25596,09375;25606,0;25620,0;profit;5,0;100,0;True;2025-11-04 21:27:22.021;False
68;2025-11-04 21:50:01.021;;2025-11-04 21:50:02.021;BUY;25583,0;;25583,0;25588,0;25615,10875;25614,8975;25593,0;25615,10875;25588,0;25574,0;profit;5,0;100,0;True;2025-11-04 21:50:01.021;False
69;2025-11-04 21:54:51.021;;2025-11-04 21:54:54.021;BUY;25553,0;;25553,0;25558,0;25569,715;25569,5025;25563,0;25570,31;25558,0;25544,0;profit;5,0;100,0;True;2025-11-04 21:54:41.021;False
70;2025-11-04 21:56:38.021;;2025-11-04 21:56:48.021;BUY;25545,5;;25545,5;25550,5;25564,01625;25562,7825;25555,5;25569,715;25550,5;25536,5;profit;5,0;100,0;True;2025-11-04 21:54:51.021;False
71;2025-11-04 21:55:01.021;;2025-11-04 21:55:02.021;SELL;25561,75;;25561,75;25556,75;25568,9275;25568,84125;25551,75;25568,9275;25556,75;25570,75;profit;5,0;100,0;True;2025-11-04 21:55:01.021;False
72;2025-11-04 22:00:01.021;;2025-11-04 22:00:02.021;SELL;25583,0;;25583,0;25578,0;25562,435;25562,595;25573,0;25559,08375;25578,0;25592,0;profit;5,0;100,0;True;2025-11-04 21:59:31.021;False
73;2025-11-04 21:59:56.021;;2025-11-04 22:00:07.021;SELL;25579,25;;25579,25;25574,25;25561,6675;25563,305;25569,25;25559,99375;25574,25;25588,25;profit;5,0;100,0;True;2025-11-04 21:59:41.021;False
74;2025-11-04 22:00:39.021;;2025-11-04 22:01:36.021;SELL;25585,75;;25585,75;25580,75;25567,37875;25575,375;25575,75;25560,545;25580,75;25594,75;profit;5,0;100,0;True;2025-11-04 21:59:46.021;False
75;2025-11-04 22:02:31.021;;2025-11-04 22:02:35.021;BUY;25565,75;;25565,75;25570,75;25577,91125;25577,8375;25575,75;25560,545;25570,75;25556,75;profit;5,0;100,0;True;2025-11-04 21:59:46.021;False
76;2025-11-04 22:00:57.021;;2025-11-04 22:01:36.021;SELL;25586,75;;25586,75;25581,75;25569,90625;25575,375;25576,75;25560,8825;25581,75;25595,75;profit;5,0;100,0;True;2025-11-04 21:59:49.021;False
77;2025-11-04 22:02:30.021;;2025-11-04 22:02:36.021;BUY;25566,75;;25566,75;25571,75;25577,95125;25577,82875;25576,75;25560,8825;25571,75;25557,75;profit;5,0;100,0;True;2025-11-04 21:59:49.021;False
78;2025-11-04 21:59:57.021;;2025-11-04 21:59:59.021;SELL;25582,0;;25582,0;25577,0;25561,84;25562,13375;25572,0;25561,07875;25577,0;25591,0;profit;5,0;100,0;True;2025-11-04 21:59:51.021;False
79;2025-11-04 22:00:37.021;;2025-11-04 22:01:47.021;SELL;25584,25;;25584,25;25579,25;25567,0775;25576,29375;25574,25;25561,3875;25579,25;25593,25;profit;5,0;100,0;True;2025-11-04 21:59:54.021;False
80;2025-11-04 22:00:58.021;;2025-11-04 22:01:36.021;SELL;25587,25;;25587,25;25582,25;25570,045;25575,375;25577,25;25561,51625;25582,25;25596,25;profit;5,0;100,0;True;2025-11-04 21:59:55.021;False
81;2025-11-04 22:02:28.021;;2025-11-04 22:02:37.021;BUY;25567,25;;25567,25;25572,25;25578,02;25577,81875;25577,25;25561,51625;25572,25;25558,25;profit;5,0;100,0;True;2025-11-04 21:59:55.021;False
82;2025-11-04 22:01:01.021;;2025-11-04 22:01:06.021;SELL;25590,0;;25590,0;25585,0;25570,51375;25571,26875;25580,0;25561,6675;25585,0;25599,0;profit;5,0;100,0;True;2025-11-04 21:59:56.021;False
83;2025-11-04 22:02:07.021;;2025-11-04 22:02:17.021;BUY;25570,0;;25570,0;25575,0;25577,735;25577,98625;25580,0;25561,6675;25575,0;25561,0;profit;5,0;100,0;True;2025-11-04 21:59:56.021;False
84;2025-11-04 22:01:01.021;;2025-11-04 22:01:05.021;SELL;25592,25;;25592,25;25587,25;25570,51375;25571,1325;25582,25;25561,84;25587,25;25601,25;profit;5,0;100,0;True;2025-11-04 21:59:57.021;False
85;2025-11-04 22:00:24.021;;2025-11-04 22:00:25.021;BUY;25572,25;;25572,25;25577,25;25565,5125;25565,6175;25582,25;25561,84;25577,25;25563,25;profit;5,0;100,0;True;2025-11-04 21:59:57.021;False
86;2025-11-04 22:01:01.021;;2025-11-04 22:01:06.021;SELL;25590,5;;25590,5;25585,5;25570,51375;25571,26875;25580,5;25562,00375;25585,5;25599,5;profit;5,0;100,0;True;2025-11-04 21:59:58.021;False
87;2025-11-04 22:02:07.021;;2025-11-04 22:02:18.021;BUY;25570,5;;25570,5;25575,5;25577,735;25578,01;25580,5;25562,00375;25575,5;25561,5;profit;5,0;100,0;True;2025-11-04 21:59:58.021;False
88;2025-11-04 22:00:40.021;;2025-11-04 22:01:36.021;SELL;25586,0;;25586,0;25581,0;25567,52875;25575,375;25576,0;25562,13375;25581,0;25595,0;profit;5,0;100,0;True;2025-11-04 21:59:59.021;False
89;2025-11-04 22:02:31.021;;2025-11-04 22:02:35.021;BUY;25566,0;;25566,0;25571,0;25577,91125;25577,8375;25576,0;25562,13375;25571,0;25557,0;profit;5,0;100,0;True;2025-11-04 21:59:59.021;False
90;2025-11-04 22:01:00.021;;2025-11-04 22:01:35.021;SELL;25587,5;;25587,5;25582,5;25570,345;25575,28125;25577,5;25562,285;25582,5;25596,5;profit;5,0;100,0;True;2025-11-04 22:00:00.021;False
91;2025-11-04 22:02:28.021;;2025-11-04 22:02:43.021;BUY;25567,5;;25567,5;25572,5;25578,02;25577,82375;25577,5;25562,285;25572,5;25558,5;profit;5,0;100,0;True;2025-11-04 22:00:00.021;False
92;2025-11-04 22:00:58.021;;2025-11-04 22:01:36.021;SELL;25587,25;;25587,25;25582,25;25570,045;25575,375;25577,25;25562,435;25582,25;25596,25;profit;5,0;100,0;True;2025-11-04 22:00:01.021;False
93;2025-11-04 22:02:28.021;;2025-11-04 22:02:37.021;BUY;25567,25;;25567,25;25572,25;25578,02;25577,81875;25577,25;25562,435;25572,25;25558,25;profit;5,0;100,0;True;2025-11-04 22:00:01.021;False
94;2025-11-04 22:01:00.021;;2025-11-04 22:01:34.021;SELL;25588,0;;25588,0;25583,0;25570,345;25575,18;25578,0;25562,595;25583,0;25597,0;profit;5,0;100,0;True;2025-11-04 22:00:02.021;False
95;2025-11-04 22:02:08.021;;2025-11-04 22:02:16.021;BUY;25568,0;;25568,0;25573,0;25577,7625;25577,9425;25578,0;25562,595;25573,0;25559,0;profit;5,0;100,0;True;2025-11-04 22:00:02.021;False
